ai_method,benefits,date_added,email,organisation,origin,owning_team,scrape_date,source_note,source_url,status,tool_name,usecase
"Machine Learning, Computer Vision","Provides educational resources on implementing AI systems in healthcare, focusing on human-in-the-loop approaches where AI automates routine tasks to free up specialists' time",,,NHS England,NHS Learning Hub,NHS England,,"This is section 5 of the 'Artificial intelligence beyond the basics' learning module on the NHS Learning Hub. The page contains information about implementing and evaluating AI systems in healthcare settings, with emphasis on human-AI collaboration.",https://learninghub.nhs.uk/catalogue/Artificial-intelligence-beyond-the-basics?nodeId=7498,live,Learning Hub - Artificial intelligence beyond the basics,Health AI
Not AI,No specific benefits are described in the conversation.,,,Surrey Heath Borough Council,surreyheath.gov.uk,,,"The conversation mentions a Productivity Plan document from Surrey Heath Borough Council, but no specific details about the AI usage were provided.",https://surreyheath.gov.uk,planned,Productivity Plan,Not AI
Not AI,"Based on the limited information available, this appears to be an Internal Audit Strategy and Annual Audit Plan document rather than an AI tool or system.",05/03/2024,,Surrey Council,surrey.gov,,,This appears to be an Internal Audit Strategy and Annual Audit Plan 2024/25 document created by Russell Banks. The document is not related to AI implementation or tools but rather to internal auditing procedures.,surrey.gov,live,Internal Audit Strategy and Annual Audit Plan 2024/25,Not AI
"Large Language Model, Retrieval Augmented Generation",Feedback suggested a preference for GOV.UK Chat over traditional search and navigation methods. Nearly 70% of users found the chatbot's responses useful and about 65% were satisfied with their experience. The tool helps users with more complex questions navigate the large GOV.UK website.,,,Government Digital Service,gov.uk,Government Digital Service (GDS),,The system was powered by API calls to OpenAI LLMs and used a Qdrant vector store for data retrieval. The RAG approach was preferred over fine-tuning because GOV.UK content is updated regularly.,https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government/artificial-intelligence-playbook-for-the-uk-government-html,pilot,GOV.UK Chat,Conversational AI
Machine Learning,"SODA brings together analytical skills across six partner organisations seeking to address major challenges across all public sector areas. It works alongside the Multi-Agency Information Sharing Protocol (MAISP) tool which allows partners to confidently share information, such as for the Crime & Disorder Protocol that aims to prevent and detect crime and safeguard vulnerable Surrey residents.",19/07/2024,,Surrey County Council,surreycc.gov.uk,Surrey County Council,,"Information extracted from Surrey County Council's Productivity Plan 2024. The council is working to build data science capabilities and has established SODA as part of their strategy to use data for understanding service performance, planning for the future, and predicting issues before they arise. The council also publishes data through the Surrey-i information portal and has formed knowledge sharing partnerships on AI with Surrey University and other local authorities.",https://www.surreycc.gov.uk/council-and-democracy/finance-and-performance/productivity-plan,live,Surrey Office for Data Analytics (SODA),Predictive Analytics
"Natural Language Processing, Large Language Model, generativeAI","The chatbot has delivered several improvements: 1) Upskilled the workforce by enhancing staff knowledge and confidence with 24/7 access to information, 2) Saved the Occupational Therapy team time (15 minutes per conversation, totaling over 300 hours during the six-week trial period with 1,200 conversations), 3) Increased OT productivity by allowing therapists to focus on more complex cases and strategic tasks, 4) Promoted technology adoption as part of a wider digital solution strategy including Virtual Smart Flat, Co-Pilot and Magic Notes.",22/07/2025,,Peterborough City Council,peterborough.gov.uk,"Technology Enabled Care and Therapy Team, Peterborough City Council",,"The chatbot is based on the expertise of Geraldine Jinks, who has worked for Peterborough City Council for 35 years as a therapy practitioner. Over 3 months, she worked with the development team to feed the AI tool information so it could answer questions in her usual chatty and direct manner. Following success with staff, the next step is to develop a self-serve version for residents to access directly.",https://www.peterborough.gov.uk/engagement-hub/council-turns-long-standing-staff-member-into-a-chatbot-to-support-social-workers,live,Hey Geraldine,Conversational AI
"Natural Language Processing, Large Language Model","The chatbot helps address staff shortages and high referral volumes by automating the collection of initial patient information. It frees up clinician time, speeds up the administration process, helps determine suitable talking therapy options for patients, and improves workflow efficiency. The chatbot does not make clinical decisions but supports the pre-assessment information gathering process.",13/03/2024,,NHS Trust,nhs.uk,"Mental Health Department, NHS Trust",,This case study describes how an NHS trust implemented an AI chatbot in their mental health department's talking therapy service to address staff shortages and high referral volumes. It details the digital assurance process followed by the trust to ensure the technology met regulatory compliance and security standards before adoption.,https://www.digitalregulations.innovation.nhs.uk/case-studies/using-a-chatbot-to-ease-staff-shortages-and-improve-patient-care/,live,AI Chatbot for Mental Health Initial Assessment,Conversational AI
Other,The speed and accuracy that AI can bring to police processes make it an attractive way to deliver an effective and efficient service.,28/09/2023,,Science & Technology in Policing,science.police.uk,National Police Chiefs' Council,,The Covenant outlines principles that police forces have agreed will define how AI is used in policing. It requires all developers and users of AI within policing to give due regard to these principles. The implementation across policing is described as an ongoing and evolving area of work.,https://science.police.uk/delivery/resources/covenant-for-using-artificial-intelligence-ai-in-policing/,live,Covenant for Using Artificial Intelligence (AI) in Policing,Decision Support
"Computer Vision, Machine Learning","Acts as an 'expert second opinion' to help doctors make faster treatment decisions. Speeds up diagnosis and patient care in a simple and safe way. Connects the stroke team with colleagues across University College London Hospitals NHS Foundation Trust and Barts Health NHS Trust to rapidly review clinical information with the mechanical thrombectomy centre, enabling faster patient transfers. Supports the highly specialised thrombectomy pathway, facilitating the timely transfer of those eligible for treatment.",08/06/2021,,BHR University Hospitals NHS Trust,bhrhospitals.nhs.uk,"Stroke team at BHR Hospitals NHS Trust, with support from PACS team, CT team, and IM&T Systems team",,Information extracted from a news article on the BHR Hospitals website. Key stakeholders mentioned include Amanda Martin (Stroke Co-Clinical Lead) and Devesh Sinha (Stroke Clinical Lead). The implementation is part of a collaborative effort across University College London Hospitals NHS Foundation Trust and Barts Health NHS Trust.,https://www.bhrhospitals.nhs.uk/news/ai-stroke-care-3017/,live,e-stroke Brainomix,Health AI
"Computer Vision, Machine Learning","Improves the way people who have suffered strokes are diagnosed and treated; allows stroke teams to make clinical decisions wherever they are; speeds up diagnosis and patient care; supports the highly specialized thrombectomy pathway; facilitates timely transfer of eligible patients to specialist hubs; makes stroke management more accessible, fast and of high quality; promotes safer, more effective hyper-acute stroke care.",07/09/2021,,East Sussex Healthcare NHS Trust University Hospitals Sussex NHS Foundation Trust,esht.nhs.uk,Sussex Integrated Stroke Delivery Network (ISDN),,"The article mentions that the software is identified as Brainomix software in a quote from Dr. Ingrid Kane. The technology has been implemented across hospitals in Eastbourne, Hastings, Brighton, Chichester and Worthing. A patient case study of Carol Wilson is included, demonstrating the effectiveness of the technology in rapidly diagnosing and treating a stroke.",https://www.esht.nhs.uk/2021/09/07/cutting-edge-technology-benefits-stroke-patients/,live,e-stroke software,Health AI
"Machine Learning, Other",Protection of AI systems from evolving cyber threats,,,NCSC,ncsc.gov.uk,NCSC Emerging Technology team,,The NCSC has collaborated with ETSI to develop a new security standard for AI systems to protect them from cyber threats. The blog post discusses this new standard and its importance in securing AI systems.,https://www.ncsc.gov.uk/blog-post/new-etsi-standard-protects-ai-systems-from-evolving-cyber-threats,live,ETSI AI Security Standard,Security and Monitoring
"Computer Vision, Machine Learning","Faster detection of lung cancer, reduced diagnosis time (under one minute), same-day CT scan booking when confirmed, streamlined deployment, cost reduction, resource saving, improved patient outcomes through earlier detection, and capability to identify up to 124 clinical findings.",24/07/2025,,NHS Cheshire and Merseyside,cheshireandmerseyside.nhs.uk,Cheshire and Merseyside Radiology Imaging Network (CAMRIN),,The technology has been implemented across all 11 imaging sites in Cheshire and Merseyside with £1.2m funding from the AI Diagnostic Fund (AIDF). The project has been shortlisted for a Health Service Journal (HSJ) Digital Award for Driving Change Through AI and Automation.,https://www.cheshireandmerseyside.nhs.uk/posts/cheshire-and-merseyside-radiology-imaging-network-introduces-transformational-ai-diagnostic-technology/,live,Annalise.ai Lung Cancer Detection Tool,Health AI
"Natural Language Processing, hybrid","Streamlines the referral and assessment process, ensures people are guided to required services quicker, makes mental health support more accessible, caters to people who find phone interactions overwhelming by providing a friendly and easy-to-use chatbot interface",15/01/2024,,NHS Cheshire and Merseyside,NHS,"West and Central Cheshire Talking Therapies, Cheshire and Wirral Partnership NHS Foundation Trust (CWP)",,The article announces the launch of a referral chatbot using Limbic AI technology by West and Central Cheshire Talking Therapies. The technology is nationally approved and assists psychological therapists in tailoring responsive approaches to patients' mental health needs. The service is for anyone 16+ experiencing common mental health challenges like anxiety and depression.,https://www.cheshireandmerseyside.nhs.uk/posts/innovative-ai-technology-streamlines-mental-health-referral-and-assessment-process-to-help-guide-people-to-the-right-support/,live,Limbic AI,Health AI
"Natural Language Processing, Other","1. More time for patient care: AI helps reduce admin tasks, giving clinicians more time to listen and care for patients. 2. Faster referrals and follow-up: AI can streamline processes, helping ensure patients get the right care quickly. 3. Better monitoring: It can help spot problems early, especially in long-term conditions.",16/05/2025,,NHS Suffolk and North East Essex Integrated Care Board,NHS,NHS Suffolk and North East Essex Integrated Care Board (ICB),,"The NHS Suffolk and North East Essex ICB provides information about AI use in primary care including applications in clinical note recording, clinical decision support, triage and booking, and managing long-term conditions. Data protection measures include encryption, access controls, and compliance with UK GDPR. Limitations include the need for clinician oversight as AI supports but does not replace professional judgment.",https://suffolkandnortheastessex.icb.nhs.uk/your-health-and-services/how-we-manage-your-information/artificial-intelligence-ai-use-in-primary-care/,live,Clinical Note Support,Workflow Automation
Natural Language Processing,"23.5% increase in direct patient interaction time, 8.2% reduction in appointment length, more time spent face-to-face interacting with patients and families, less time on admin tasks, improved accuracy and efficiency in clinical notes",08/10/2025,,Great Ormond Street Hospital for Children NHS Foundation Trust,NHS,GOSH DRIVE,,"This AI-Scribing tool was implemented following a 2-year collaborative research project and successful trial involving over 17,000 patient interactions across nine NHS sites. The implementation is part of GOSH's AI Strategy to deliver real-world AI solutions that improve patient outcomes, corporate functions, and staff working lives. The tool has undergone rigorous testing to ensure safety and data security.",https://www.gosh.nhs.uk/news/implementing-ai-scribing-into-outpatient-clinics-to-enhance-care-and-reduce-burnout/,live,TORTUS,Document Intelligence
"Natural Language Processing, Machine Learning","Automatically identifying patients ready for discharge to free up beds, matching last-minute outpatient slots with patients who can attend at short notice, and reducing paperwork, freeing up staff time for direct patient care",18/08/2025,,Chelsea and Westminster Hospital NHS Foundation Trust,chelwest.nhs.uk,Chelsea and Westminster Hospital NHS Foundation Trust,,"As part of the UK government's AI Exemplar Programme announcement on 17 August, the Department of Science, Innovation and Technology (DSIT) along with the Secretary of State, Peter Kyle, visited the Trust to learn more about the different ways they are implementing Artificial Intelligence (AI) to support patient care. A key part of the Exemplar Programme is the Government's commitment to roll out the use of AI in discharge summaries, something the Trust is currently piloting.",https://www.chelwest.nhs.uk/about-us/news/chelsea-and-westminster-hospital-nhs-foundation-trust-hailed-as-national-exemplar-for-ai-to-support-patient-care,live,AI in discharge summaries,Health AI
"generativeAI, Large Language Model, Natural Language Processing","The adoption of ambient scribing products can transform care settings by reducing clinician administrative burden, enabling caregivers to dedicate more time to providing care rather than documenting it. Benefits include: accurate real-time documentation, consistent standardized data capture, reduced variability and errors in data entry, higher quality data supporting better clinical decision-making, improved operational efficiency, cost savings, and support for a wide range of use cases across primary, community, care home, and specialized hospital settings.",27/04/2025,,NHS England,england.nhs.uk,NHS England Digital,,"This is version 1 of the guidance document for England only. The document outlines high-level information to assist those adopting ambient scribing products featuring Generative AI in health and care settings, including implementation guidance, product details, key considerations, and in-depth actions for technical teams.",https://www.england.nhs.uk/long-read/guidance-on-the-use-of-ai-enabled-ambient-scribing-products-in-health-and-care-settings/,live,Guidance on the use of AI-enabled ambient scribing products in health and care settings,Health AI
Not AI,"Connects over 1,200 members across Civil Service and public sector, provides monthly online events, in-person conferences, and newsletters about AI developments, facilitates sharing of best practices and experiences to avoid siloed approaches and duplication of work",01/12/2023,,Government Digital Service Department for Science Innovation and Technology,UK Government,Government Digital Service (GDS) AI Team,,"The AI community was launched in December 2023 by the team that developed the Generative AI Framework for HMG. After one year, it has 1,200+ members from over 100 government departments and public sector organizations. The community offers monthly online events, in-person conferences, and outreach activities. Future plans include establishing an AI Engagement Board for senior officials and continuing quarterly in-person events across the UK.",https://cddo.blog.gov.uk/2025/02/10/celebrating-one-year-of-the-artificial-ntelligence-community/,live,AI Community for UK Government,Not AI
"Computer Vision, Machine Learning",Provides minimum standards for deploying AI solutions in radiology,,,NHS England,Royal College of Radiologists,Royal College of Radiologists (RCR),,RCR's minimum standards for providers to deploy artificial intelligence (AI) solutions in radiology.,https://digital.nhs.uk/services/ai-knowledge-repository/develop-ai,live,AI deployment fundamentals for medical imaging,Health AI
"Computer Vision, generativeAI, Machine Learning","RETFound is an AI foundation model in ophthalmology that can identify sight-threatening eye diseases and predict other health conditions including heart attacks, stroke, and Parkinson's disease. It outperforms existing AI systems across complex clinical tasks, works well in diverse populations and patients with rare diseases, and requires only 10% of human labels compared to other systems. The model improves diagnosis of eye diseases like diabetic retinopathy and glaucoma, while also predicting systemic diseases.",13/09/2023,,Moorfields Eye Hospital NHS Foundation Trust,moorfields.nhs.uk,Moorfields Eye Hospital and UCL Institute of Ophthalmology,,RETFound was developed using millions of eye scans from the NHS and is being made open-source and freely available on GitHub for any institution worldwide. It was trained on 1.6 million images from Moorfields Eye Hospital using AI tools provided by INSIGHT. The research was published in Nature and led by Yukun Zhou and Professor Pearse Keane.,https://www.moorfields.nhs.uk/about-us/news-and-blogs/news/moorfields-launch-ai-model-to-boost-global-research-into-reducing-blindness,live,RETFound,Health AI
"Machine Learning, Computer Vision","The Global RETFound initiative aims to develop the first globally representative AI foundation model in medicine using 100 million eye images collected from over 65 countries. This model addresses bias in healthcare AI by creating one of the most geographically and ethnically diverse medical datasets. It will be evaluated across multiple ophthalmic and systemic diseases including diabetic retinopathy, glaucoma, age-related macular degeneration and cardiovascular disease. The model will be released under a Creative Commons license, making it freely available for non-commercial research worldwide.",08/09/2025,,Moorfields Eye Hospital NHS Foundation Trust,moorfields.nhs.uk,"Research consortium led by Moorfields Eye Hospital NHS Foundation Trust, University College London (UCL), National University of Singapore Yong Loo Lin School of Medicine, and the Chinese University of Hong Kong",,"The initiative builds on the success of RETFound, the first foundation model for retinal and systemic disease detection published in Nature in 2023. The Global RETFound Consortium uses a flexible, two-pronged data sharing framework to accommodate varying technical capacities and regulatory requirements across participating institutions. The project is supported by NIHR Moorfields Biomedical Research Centre and Moorfields Eye Charity.",https://www.moorfields.nhs.uk/research/nihr-moorfields-clinical-research-facility-crf/news-crf/first-medical-ai-foundation-model-with-globally-representative-data,planned,Global RETFound,Health AI
"Natural Language Processing, Large Language Model, generativeAI",Improved NHS communications through artificial intelligence implementation,2024,,NHS England,england.nhs.uk,NHS England — London,,This is an engagement paper on the use of artificial intelligence (AI) in NHS Communications for 2024/25. The document outlines strategies and best practices for implementing AI in healthcare communications.,https://www.england.nhs.uk/london/shape-the-future-of-ai-within-nhs-communications/engagement-paper-on-ai-in-nhs-communications-24-25/,planned,Enhancing NHS Communication Through AI,Workflow Automation
"generativeAI, Large Language Model","Time savings of 55 minutes when drafting meeting minutes (from 72 minutes to 17 minutes). 88% of neurodiverse users experienced productivity gains. 75% of users reported improved focus, and 53% found work more enjoyable with Copilot. Users saved 2-4 hours per week on average. ROI calculated at 4-10 times the monthly cost (£25 per license).",03/02/2025,,Somerset Council,local.gov.uk,Somerset Council - AI Discovery Project Team,,"Somerset Council is part of the Microsoft Copilot Early Access Programme (EAP) alongside 11 other councils. They developed a robust AI governance framework including data protection impact assessments, ethical guidance, and acceptable use policies. Support was provided through a 'pioneer community' on Microsoft Teams and weekly contact meetings.",https://www.local.gov.uk/case-studies/somerset-council-using-microsoft-copilot-improve-productivity,pilot,Microsoft Copilot,Workflow Automation
"Machine Learning, generativeAI, Natural Language Processing","Achieved an estimated 85% reduction in time spent on repetitive administrative tasks for planning officers. Made planning consultations more accessible to residents, increased volume of responses, and improved efficiency in analyzing and processing consultation feedback.",19/02/2025,[email protected],West Oxfordshire and Cotswold District Councils,local.gov.uk,West Oxfordshire and Cotswold District Councils' Planning Departments,,"The councils worked with two vendors, Konveio and Go Vocal, to develop a suite of tools including comment auto-tagging, summary tools for longer comments, and systems-integrated analysis capabilities.",https://www.local.gov.uk/case-studies/west-oxfordshire-and-cotswold-district-councils-summarising-planning-engagement,live,AI-Powered Planning Consultation Analysis,Workflow Automation
"Other, Machine Learning, Other",Provides an agreed way of implementing and monitoring Artificial Intelligence (AI) products in the London health and care system,,,NHS England Digital,digital.nhs.uk,NHS England Digital,,PDF document providing framework guidance,https://digital.nhs.uk/services/ai-knowledge-repository/ai-in-practice,live,"A Framework for the safe, efficient and effective implementation, use and maintenance of AI in health and care in London",Health AI
"Machine Learning, Computer Vision","Shorter MRI scan times for patients, improving patient comfort and efficiency",,,Northern Lincolnshire and Goole NHS Foundation Trust,nlg.nhs.uk,,,AI technology implementation that reduces MRI scan times for patients at Northern Lincolnshire and Goole NHS Foundation Trust,https://www.nlg.nhs.uk/news/use-of-ai-technology-means-shorter-mri-scan-times-for-patients/,live,AI-Enhanced MRI Scanning,Health AI
Other,"Enables mobile work, streamlines data collection, and improves efficiency through automated form updates",2024,,Lincolnshire County Council,lincolnshire.gov.uk,Lincolnshire Fire and Rescue,,Part of SP5 initiative to streamline data management and technology access,https://www.lincolnshire.gov.uk/lincolnshire-fire-rescue/lincolnshire-fire-rescue-annual-service-plan-2024-2025/9,planned,Ruggedised tablets,Workflow Automation
Natural Language Processing,"The AI-scribe technology showed a 23.5% increase in direct patient interaction time during appointments, 8.2% reduction in overall appointment length, 13.4% increase in patients seen per shift in A&E, 35% reduction in clinicians feeling overwhelmed by notetaking. Economic modeling indicates potential savings of £176 million in documentation time and an additional £658 million in capacity annually if scaled nationally. The technology was reported as 'transformative' with particular benefits for neurodivergent staff and those working in high-pressure environments.",04/09/2025,,TORTUS in collaboration with Great Ormond Street Hospital,gosh.nhs.uk,GOSH DRIVE (Innovation Unit at Great Ormond Street Hospital),,"The technology uses ambient voice technology (AVT) with generative AI to listen to consultations and draft clinic notes and letters using templates that can be personalized to each clinician's style. The AI does not perform clinical decision making, and all notes and letters are checked and edited by clinicians before being saved to patient records.",https://www.gosh.nhs.uk/news/researchgosh-led-trial-of-ai-scribe-technology-shows-transformative-benefits-for-patients-and-clinicians-across-london/,live,TORTUS,Document Intelligence
"generativeAI, Natural Language Processing, Large Language Model","Staff across departments report significant time savings on tasks such as meeting transcriptions, minutes, document summarization, and administrative support. Procurement processes benefit from Copilot's ability to answer qualifying questions. Legal services leverage document summarization to focus on complex tasks. Finance teams have seen improvements in spreadsheet usage and macro debugging. Social care workers experience a significant reduction in administrative burden, freeing them for direct client care. Usage data shows 70% of users regularly engage with Copilot. The council is measuring ROI through productivity and cost savings metrics, including reductions in agency staffing costs, efficiency gains in administrative tasks, and improved productivity across departments.",09/01/2025,info@local.gov.uk,Barnsley Council,local.gov.uk,Barnsley Council,,"Barnsley Council secured a place in Microsoft's early access program (EAP) in September 2023 and implemented a comprehensive governance framework including an ethics board, enhanced information governance, user training workshops, and risk-specific protocols for high-risk areas like children's social care. They also created a 'Copilot Flight Crew' with over 150 staff trained as champions to provide ongoing guidance.",https://www2.local.gov.uk/case-studies/barnsley-council-pioneering-use-microsoft-copilot,live,Microsoft Copilot,Workflow Automation
"Natural Language Processing, Machine Learning","In the first week, ROVA reviewed more than a million clinical documents and identified almost 1,500 patients who can be safely removed from UHNM's waiting list, work that would have taken around three months to complete manually. It enables staff to focus resources where they are needed most by automatically highlighting patients who no longer need to wait for treatment, ensuring patients are treated sooner, improving data quality, and ultimately helping reduce waiting times.",14/10/2025,,University Hospitals of North Midlands NHS Trust,NHS England,"Digital Services, information and validation teams",,The system is currently being piloted as part of a 12-month trial and there are plans for it to be expanded to support all clinical care groups across UHNM. The technology was recommended by NHS England and is used in other Trusts across the UK.,https://www.uhnm.nhs.uk/latest-uhnm-news/uhnm-to-use-ai-technology-to-help-reduce-surgical-waiting-lists/,pilot,MBI ROVA,Document Intelligence
"Computer Vision, Machine Learning","Streamlines patient pathways by classifying lesions by risk level, supports NHS 28-day Faster Diagnosis Standard, reduces waiting times, frees up specialist capacity, provides faster accurate assessments, helps manage increasing demand while maintaining high standards of care",05/08/2025,,NHS University Hospitals of Liverpool Group in partnership with Skin Analytics,uhliverpool.nhs.uk,"Broadgreen Hospital's dermatology team, NHS University Hospitals of Liverpool (UHL) Group",,"NICE has granted conditional approval for NHS use, recommending continued deployment for three years while further evidence is gathered. Broadgreen's dermatology team was among the UK's first to pioneer DERM at a local medical centre, integrating it into the urgent skin cancer pathway.",https://www.uhliverpool.nhs.uk/about-us/our-stories/merseyside-hospital-pioneers-use-ai-technology-early-detection-skin-cancer,live,DERM (Deep Ensemble for Recognition of Malignancy),Health AI
Not AI,"Benefits include: 1) Speeding up planning approvals for housing development (currently taking up to 18 months with 4,000 pages of documentation), 2) Reducing NHS waiting lists and time demands on frontline staff, 3) Supporting drug discovery and clinical trial assessments through the MHRA, 4) Driving economic growth with OECD estimating AI could improve UK productivity by 1.3 percentage points annually (worth £140 billion), 5) Helping UK businesses adopt AI technologies (currently only 21% of UK firms use AI).",21/10/2025,press@dsit.gov.uk,UK Government,gov.uk,"Department for Science, Innovation and Technology",,"The announcement includes £1 million to support the Medicines and Healthcare products Regulatory Agency (MHRA) to pilot AI-assisted tools for drug discovery and clinical trial assessments. The AI Growth Lab will be overseen by tech and regulatory experts with a strict licensing scheme and strong safeguards. Consumer protection, safety provisions, fundamental rights, workers' protections, and intellectual property rights will be excluded from sandbox regulations.",https://www.gov.uk/government/news/new-blueprint-for-ai-regulation-could-speed-up-planning-approvals-slash-nhs-waiting-times-and-drive-growth-and-public-trust,planned,AI Growth Lab,Not AI
"Machine Learning, Computer Vision, Other","Faster identification of health conditions, support for clinical decision making, improved diagnostic capabilities for skin cancer, and enhanced evaluation of x-ray and CT scans",14/02/2025,,Welsh Government,wales.gov,Welsh Government Health Department,,"Information extracted from Welsh Government press release where Sarah Murphy, Minister for Mental Health and Wellbeing, outlined Wales' vision for ethical AI use in healthcare at the Digging Deeper Conference in Newport. The conference showcased AI applications already in use including diagnostic tools for cancer and stroke detection, and highlighted investments in infrastructure such as data center development in Newport and the Hartree Centre at Cardiff University.",https://media.service.gov.wales/news/minister-sets-out-vision-for-ethical-use-of-ai-in-health-and-care-in-wales,live,AI in Welsh Healthcare,Health AI
"Natural Language Processing, Machine Learning, Retrieval Augmented Generation, Other","1) 90% reduction in time and cost for certain data retrieval tasks compared to the previous system. 2) Automatic generation of eco-maps that visualize networks surrounding children and families, revealing connections that could take days to discover manually. 3) Improved access to historical data regardless of staff turnover. 4) Minimized administrative burden, allowing social workers to spend more time engaging directly with families. 5) Enhanced early risk identification enabling proactive interventions for child safety and well-being.",03/02/2025,[email protected],North Yorkshire Council,local.gov.uk,North Yorkshire Council,,"The project was developed on Microsoft Azure AI infrastructure and integrated with the council's existing Liquid Logic LCS case management system. The proof-of-concept demonstrated significant benefits but faced some technical hurdles. Future development phases may include data refresh, data matching, LiquidLogic form integration, and auto-redaction capabilities.",https://www.local.gov.uk/case-studies/north-yorkshire-council-using-ai-reimagine-childrens-social-care,pilot,AI-powered Children's Social Care System,Decision Support
Other,"Provides resources to learn about AI, its current applications, and potential in health and care systems",,,NHS England Digital,digital.nhs.uk,NHS England Digital,,"This is a knowledge repository page featuring multiple resources including: 'A Horizon Scan of Algorithms Used in the Development of AI-Enabled Healthcare Technologies', 'AI Barometer 2020', 'AI in health care: what do the public and NHS staff think?', 'AI Playbook for the UK Government', 'An Investigation into the Development of AI, ML and DL-Enabled Healthcare Technologies', 'Foundation models in the public sector', 'International AI Safety Report 2025', 'NHSX AI Dictionary', 'Understanding AI in Healthcare', 'The role of artificial intelligence in healthcare: a structured literature review', 'AI Insights Series', 'More than just hype: how emerging AI Use is assisting health and social care', 'Principles for AI and its application in healthcare', and 'AI Guides by University Hospitals Plymouth NHS Trust'.",https://digital.nhs.uk/services/ai-knowledge-repository/understand-ai,live,AI knowledge repository - Understand AI,Search and Retrieval
"Natural Language Processing, generativeAI, Machine Learning, Other","Provides clear regulatory guidance, support resources, and case studies for navigating AI and digital technology implementation in health and social care settings",2024,,NHS,innovation.nhs.uk,NHS Innovation,,"The service is in BETA stage and provides comprehensive guidance for both developers (manufacturers) and adopters of AI and digital technologies in health and social care. It includes case studies, blogs, and support resources.",https://www.digitalregulations.innovation.nhs.uk/,pilot,AI and Digital Regulations Service for health and social care,Health AI
"Machine Learning, Natural Language Processing, Computer Vision","The guidance highlights several benefits of digital tools including: improved access to care through digital communication channels, patient empowerment for self-care at home with monitoring devices and condition-specific apps, support for families/carers in long-term patient care, reduced medication prescribing through alternative digital interventions, and new ways of identifying or treating disease using AI to improve early diagnosis.",25/05/2023,,NHS England,england.nhs.uk,NHS England Digital Team,,"The document provides comprehensive guidance on medical devices and digital tools in healthcare, including their definition, classification, regulation, and implementation. It emphasizes the importance of safety, proper implementation, and reporting adverse incidents. The guidance also discusses the Digital Technology Assessment Criteria (DTAC) used by the NHS to evaluate digital technologies.",https://www.england.nhs.uk/long-read/medical-devices-and-digital-tools/,live,Medical Devices and Digital Tools Guidance,Health AI
"Other, Machine Learning",Supports AI developers with auditing their technology at an early stage to ultimately increase trust in the use and governance of AI systems,,,NHS England,digital.nhs.uk,NHS England Digital with Ada Lovelace Institute,,Part of a past AI programme that has been completed. The project aims to improve the trustworthiness of AI systems and encourage appropriate confidence in their clinical use.,https://digital.nhs.uk/services/ai-knowledge-repository/nhs-lab-ai-ethics-initiative/building-confidence-in-clinical-use-of-ai,live,Algorithmic Impact Assessment (AIA),Decision Support
Other,Responsible use of AI in healthcare,,,University Hospitals of Leicester NHS Trust,uhleicester.nhs.uk,NHS Trust Group,,The NHS Trust Group has joined a European network for responsible use of AI in healthcare. Content details are limited as the page requires JavaScript and cookies to be enabled.,https://www.uhleicester.nhs.uk/news/nhs-trust-group-joins-european-network-for-responsible-use-of-ai-in-healthcare/,live,AI in Healthcare Initiative,Health AI
"generativeAI, Natural Language Processing, Machine Learning, Computer Vision","Allows patients to complete initial history taking without non-clinical health advisers, uses medically trained probabilistic network, features generative and conversational AI through a chat bot, provides image analysis, delivers fully formed assessments to clinicians, includes priority scoring based on Manchester triage, provides differential diagnosis likelihood scoring, addresses staffing issues in urgent and emergency care, improves patient experience, enhances efficiency and safety",22/03/2024,,Transformation Partners in Health and Care,transformationpartners.nhs.uk,"IUC and Digital programme, Transformation Partners in Health and Care (TPHC)",,"Blog post authored by Shaun Crinion, Deputy Head of IUC and Digital programme at TPHC, describing how AI is being used to transform urgent and emergency care through implementation of the Visiba platform in NHS 111 services",https://www.transformationpartners.nhs.uk/how-ai-is-transforming-urgent-and-emergency-care/,live,Visiba,Health AI
"Computer Vision, Machine Learning","Faster diagnosis: AI analyses images in seconds; More accurate triage: Urgent cases are prioritised more effectively; Fewer unnecessary appointments: Benign lesions can be safely discharged without the need for a face-to-face consultation; Has already helped over 10,000 patients receive the right care at the right time",,chelwest.digitalops@nhs.net,Chelsea and Westminster Hospital NHS Foundation Trust,Skin Analytics,Dermatology service,,This system is now standard practice across the dermatology service,https://www.chelwest.nhs.uk/about-us/organisation/our-way-of-working/how-we-use-ai-to-improve-care,live,DERM,Health AI
"Natural Language Processing, Large Language Model, generativeAI","Enhanced Focus on Patient Care: By automating the documentation process, Heidi Health allows clinicians to spend more time interacting with patients, improving the quality of care and communication during consultations. Efficiency and Accuracy: The AI scribe ensures that all details of patient visits are accurately recorded, reducing the risk of errors and omissions in medical records. Streamlined Workflow: Heidi Health helps in managing various administrative tasks such as generating patient summaries, filling out forms, and creating letters, making workflow more efficient.",04/11/2021,,NHS,UK,Chatsworth Road Medical Centre,,"Chatsworth Road Medical Centre is currently trialling this AI software to help clinicians in their clinics. Patients can opt out by informing their clinician. The system has been approved by NHS and adheres to UK compliance frameworks including Data Protection Act, GDPR, and NHS standards such as DCB0129, DTAC, and DSPT. All data is hosted within the UK, and audio recordings used for generating notes are processed and then deleted, not stored permanently.",https://www.chatsworthroadmedicalcentre.nhs.uk/heidi-health-ai,pilot,Heidi Health AI,Health AI
